sale.price,lot.size,living.area,bedrooms
332750,0.01,1016,2
240000,0.15,1457,2
323413,5.76,2635,3
342202,0.44,2711,4
401115,0.53,3020,4
163500,0.16,1512,3
375000,0.47,2506,4
120820,0.34,1272,3
122700,0.25,936,3
237500,0.74,2374,4
367000,0.38,2651,3
82800,0.11,1483,3
155000,0.24,1728,3
147000,0.15,1184,3
122500,0.14,1480,3
172700,0.34,1638,3
160500,0.16,1514,3
240000,0.14,1216,3
138000,1.42,1296,2
220000,0.31,1656,3
252828,1,2649,4
89000,0.49,1568,4
180000,0.22,1052,3
238600,0.46,2404,4
200000,0.32,1336,3
274867,0.46,2777,4
106500,0.06,1302,2
115000,0.62,936,3
347000,0.35,1973,4
182000,0.35,2080,4
177500,0.31,1508,3
480000,0.34,2496,3
126900,0.25,1596,3
266000,0.61,1848,4
200800,0.3,1876,3
105000,0.36,1144,2
175000,0.22,1292,3
159500,0.29,1684,3
166500,0.1,812,2
900000,0.69,3800,4
157000,0.52,1464,3
189000,0.35,1301,2
499000,0.06,2161,3
85000,1,1056,3
212000,0.34,1508,3
240000,0.6,2708,5
192300,1.59,1806,3
218000,1.24,2187,4
210225,0.7,2404,4
198500,0.4,1326,3
238000,0.33,1984,3
155000,1.38,2307,2
839000,1,4544,4
122500,0.15,1184,2
97500,0.16,912,2
154000,0.14,1480,3
230000,0.58,1554,3
209900,0.17,1184,3
187628,0.01,1496,2
280000,0.3,1883,3
295000,0.95,2380,3
225000,0.77,792,2
147423,0.16,912,2
160000,0.15,1385,2
105000,0.49,1300,3
137900,0.14,1352,2
136000,0.27,1576,3
172165,0.24,1112,3
224690,0.52,2285,4
180000,0.46,1922,4
84000,0.8,1008,2
120000,0.14,1287,3
293500,0.49,1904,4
139900,0.36,1324,3
160000,0.16,1184,3
335610,0.41,2950,4
229000,0.75,1344,3
215270,0.54,1266,3
65000,0.22,1029,3
65000,0.27,1200,2
199000,1.36,1652,3
435500,0.05,3030,4
130000,0.19,1206,2
279000,0.19,2448,4
184350,0.59,2161,4
138000,0.15,912,2
220000,0.4,1664,3
192800,0.46,1304,3
269000,0.49,1605,3
208000,0.27,1557,3
129000,0.39,1484,3
243000,0.52,2105,5
128850,0.92,824,3
159400,0.52,1176,3
125000,2.04,1460,1
271500,0.46,2324,4
220000,0.63,1596,3
235000,5.2,2828,3
218000,0.21,1428,3
233500,0.41,1652,3
362500,0.02,1860,2
86125,0.01,960,2
190100,0.48,1872,4
327670,0.31,2555,3
134250,0.24,1456,3
340000,0.49,2360,4
216300,0.1,2360,4
140595,0.42,1350,3
270000,0.68,2016,3
53000,0.24,792,2
259000,0.91,832,2
264894,0.56,2900,6
82900,0.38,1055,2
60000,0.01,960,2
275000,0.46,2005,4
189400,1,2234,4
445000,1,3147,3
199100,0.14,1352,2
124000,0.06,1314,2
360000,0.5,3042,4
299000,1,2102,3
164000,0.68,1774,4
92000,0.17,1480,2
620000,0.53,3250,3
220000,1.24,2008,3
225000,0.03,1735,3
155000,0.22,1008,3
227000,1.2,2708,4
186900,2,2148,4
475000,0.66,2868,5
128800,0.35,1040,2
193056,0.17,1785,3
131000,0.46,1107,3
565000,0.26,2688,3
95000,0.62,960,4
162409,0.93,1650,3
121500,0.14,2576,5
445000,1,3208,4
254900,0.73,2240,4
162000,0.42,1656,3
570900,4,2228,3
200000,0.55,2468,3
210900,0.24,1120,3
315000,0.69,2172,3
107500,0.15,912,2
152400,1,1200,2
175000,0.34,1664,3
174000,0.13,1120,2
190000,0.57,2064,4
209268,0.5,1916,4
350000,0.5,2162,4
137000,0.08,1375,2
89000,0.1,2569,2
210860,0.31,1973,3
93500,0.64,1580,4
177500,5,1728,3
145000,0.16,1184,3
225000,0.2,1762,4
185000,0.31,1036,2
166000,0.06,1485,3
136900,0.15,1628,3
209000,0.48,1559,3
202000,0.55,1460,3
105000,0.26,1596,4
378000,0.62,3329,3
180000,0.48,1530,3
174900,0.34,1976,4
344100,1.05,2608,4
437000,1.51,2988,4
325000,0.38,2569,3
327000,0.67,1682,2
148000,1,1400,3
128000,0.15,1168,2
405000,1.1,2826,4
365000,0.62,2896,4
382406,0.44,2712,4
264500,0.46,2376,4
900000,0.42,4108,3
82200,0.11,965,2
165900,0.18,1352,2
172500,0.36,1302,3
239000,0.5,2308,4
335000,0.92,2274,4
232000,0.27,1224,2
174997,0.22,1480,3
115000,0.08,1302,2
205000,0.8,2488,4
150000,0.42,1328,3
187500,0.59,1857,4
152000,0.15,1385,2
152000,0.08,1480,3
132500,0.36,1368,3
185000,0.29,1738,4
142500,0.32,1260,2
329321,0.47,2668,4
145000,0.1,1287,3
238000,0.84,2064,4
222000,0.33,1400,3
121000,0.52,1164,3
327500,1.47,3150,5
415000,0.12,2126,3
95000,0.16,912,2
162000,1,1008,2
329900,0.5,2368,4
189150,0.49,1955,4
243000,1.4,1196,3
121000,0.21,1992,3
385900,0.4,3008,4
314230,0.51,2686,4
177000,0.3,1282,4
186120,0.2,1392,2
99900,0.11,1713,3
186500,0.34,1128,3
186000,0.76,1637,3
189900,0.38,1632,3
218800,0.46,1610,3
128000,1,792,2
239900,0.42,2259,4
239900,0.05,1512,3
197500,0.41,1674,3
299900,0.43,2084,3
295000,0.2,1272,3
211000,0.27,1758,4
172500,0.31,1004,2
150000,0.46,936,2
95000,0.17,1480,2
123500,0.18,1215,2
120000,0.24,1372,3
223298,0.56,1946,3
385000,2.21,2957,4
176900,0.7,1826,3
177500,0.33,1561,3
157900,0.44,1464,3
395520,0.55,3420,4
211000,0.53,1898,4
153238,0.44,1324,3
113500,0.43,1010,2
399630,0.7,3021,4
170000,0.16,1514,3
168000,0.6,1910,4
133000,0.76,1812,3
218000,0.34,1952,4
168000,0.25,1893,4
137000,0.36,960,2
202000,0.47,1222,2
159900,0.46,1506,3
122500,0.1,1480,3
198255,0.46,1762,3
199900,0.27,1800,3
175000,0.31,1876,3
105000,0.49,1300,3
187000,1,1512,4
233600,0.5,2308,4
268900,0.28,1674,3
106000,0.48,1296,3
211000,0.29,1886,3
112500,0.06,1480,2
107000,0.28,1568,3
190400,0.17,1920,3
206000,0.1,1610,3
367595,0.41,3249,4
391035,0.45,3169,4
322411,0.17,2748,4
316000,0.29,1924,3
195150,0.5,2015,3
250560,0.3,2160,3
291500,0.09,1828,3
228000,1.44,1797,3
177000,0.08,1780,3
360000,0.35,2506,3
175000,0.52,1908,4
185000,0.13,1348,2
148000,0.39,1794,3
164900,0.08,1792,2
385000,0.17,2329,5
225000,0.41,1734,4
860000,1,4076,4
80000,0.17,924,2
180000,0.25,1227,2
210511,0.42,1404,3
434900,0.6,3271,4
251410,0.29,2733,4
326500,0.57,2768,4
335000,3.28,1900,3
155000,0.57,1498,2
135000,0.02,1296,2
437000,0.48,2901,4
392712,0.6,2808,4
205000,0.36,1964,2
199900,0.32,1528,3
219000,0.9,1816,3
155000,0.3,1368,3
149900,0.34,1658,3
174250,0.16,1592,3
350025,2.74,3500,4
139000,0.34,1040,3
105500,0.16,912,2
320000,0.24,2581,4
217400,0.43,2336,3
187000,1,1560,3
495000,0.58,3358,4
197900,0.5,1745,3
245000,0.47,2300,5
255000,0.25,1400,3
290200,1.43,2215,3
127200,0.28,1000,3
294000,3.32,3050,4
192145,0.17,1816,3
157731,0.54,1954,4
234000,0.56,2625,4
328900,0.32,2248,4
400370,0.28,3299,4
184000,0.5,1896,4
262000,0.46,2364,4
189900,0.16,1323,3
153600,0.14,1343,2
162500,0.18,1756,4
135500,1,1461,3
349900,0.44,2886,4
91900,0.29,1018,3
487000,0.69,2291,3
385900,0.56,2406,4
215000,0.14,1320,3
89625,0.21,840,2
126500,0.15,1318,4
138500,0.32,1558,3
260000,0.54,1983,4
60000,0.01,960,2
122000,0.17,1240,2
140000,0.16,864,3
126000,2.5,1170,2
168000,0.27,1272,3
175495,0.23,1734,3
199500,1.5,1525,3
245000,0.48,2310,5
415000,0.54,3260,4
294000,0.38,1996,3
228000,0.29,1914,4
254000,0.3,1914,3
292000,1.29,2053,3
209900,0.63,1196,4
114000,0.21,1476,4
144000,0.44,1676,4
389000,0.63,3440,4
158000,0.66,1476,3
650000,2,3684,4
110000,0.35,960,3
133000,0.45,1371,3
367000,0.38,2651,3
244950,0.19,1540,3
99078,0.22,2550,3
149000,0.91,2145,5
125000,0.13,1107,1
309278,0.02,1650,2
157000,0.16,1492,3
110000,1,1013,3
245000,1,2038,4
118000,0.15,1240,2
143000,4.25,1600,4
30000,0.28,1050,2
113000,0.06,1290,2
155000,3.1,1646,4
415000,0.23,2964,4
262000,0.29,1487,3
166900,0.75,1272,3
253750,2,2816,4
311000,0.54,2120,3
191000,0.73,1678,3
118000,0.22,1480,3
194900,0.39,1099,2
213900,0.3,2237,4
110000,0.25,1290,2
294000,0.42,3654,4
152673,0.12,1242,2
235000,0.31,1344,3
135900,0.14,1498,2
139062,0.69,1440,3
290000,0.63,2620,4
186000,0.16,1247,3
186000,0.27,1660,4
475000,1.11,2645,3
318310,0.23,2616,4
128100,0.25,1490,3
105000,0.16,912,2
146810,0.38,1664,3
195000,0.55,2310,4
270000,0.39,1910,4
161000,0.31,1542,3
282500,0.05,1550,2
266900,1.19,2499,4
179400,1.48,2160,4
165000,0.33,1341,2
100000,0.16,1480,3
320210,0.81,2492,3
268500,0.31,2299,4
276550,0.4,2498,4
303000,0.16,1414,2
132000,0.24,960,3
151000,0.37,1239,3
314500,1.64,1836,4
115000,0.06,1302,2
157000,0.16,1240,3
239900,0.38,2008,3
179900,0.57,1158,3
153000,2.06,1508,3
166344,0.31,1640,3
405000,0.58,3124,4
204580,2.26,1344,3
214000,0.25,1490,3
263800,0.35,1911,3
200600,0.24,1425,3
319449,0.39,2699,4
225000,0.27,1952,3
278000,0.69,2310,5
244900,0.74,1931,3
139100,0.06,1479,3
207635,0.31,1710,3
158000,0.46,960,2
150000,2.34,2832,4
155000,0.41,1944,3
179900,0.38,1400,4
234672,0.35,2250,3
315000,0.17,1407,3
263000,0.29,2195,3
219000,0.4,2310,4
257732,0.23,1600,3
310000,0.17,3347,6
450000,2.02,3136,4
381500,0.15,2162,3
244900,0.46,2027,3
120000,2.6,2206,3
375000,0.14,2252,3
125000,0.32,945,2
195000,0.42,1552,4
332000,1,2734,3
279156,0.08,2637,4
149000,0.32,1760,4
287600,0.07,2242,3
335000,0.62,2906,4
368193,0.72,3433,4
569000,0.46,2972,5
115000,0.15,1385,2
262900,0.18,1785,3
183000,0.19,1132,2
369900,0.98,2360,4
190000,0.12,1227,2
279489,0.24,2614,4
275000,0.28,2096,3
225000,0.63,2235,4
510175,0.54,3404,4
165000,5.71,2592,4
154900,0.46,1136,3
44000,0.18,1248,3
265400,0.36,2612,4
381220,0.24,2716,3
159500,0.21,1278,3
279900,0.47,2340,4
160000,0.14,1064,2
152000,0.21,1253,2
162515,0.36,1590,3
214325,0.42,2554,4
324000,0.43,2392,3
245000,0.42,2045,4
188500,0.57,2608,4
460000,0.71,3152,4
80500,0.01,960,2
101000,0.16,912,2
82900,0.25,1412,2
199900,0.21,1180,2
136990,0.06,1480,3
67000,0.92,1280,3
141000,0.16,1514,3
102800,0.08,1140,2
159000,0.86,1728,4
215100,1.29,1505,3
161200,2,1320,3
202000,0.23,1466,3
290000,0.48,2352,3
191405,0.71,1766,3
150000,0.41,2488,3
108875,0.42,1580,3
129000,0.29,1300,4
345000,0.56,3389,5
150000,0.15,1385,2
155547,0.14,1669,3
399900,0.53,2688,4
298700,6.5,2232,4
182900,0.29,1772,3
350000,0.56,2760,4
422500,0.79,2306,3
525000,1.43,3982,4
265000,0.36,1865,3
171000,0.37,1548,3
126100,0.15,1385,2
175000,0.41,1574,3
189540,0.27,1728,3
124000,0.09,920,3
259500,0.3,2219,4
226497,1.5,1956,3
160000,0.25,1290,2
139900,0.2,1058,2
159000,0.22,1180,2
367000,0.03,1815,2
222500,0.68,2002,3
119680,0.02,524,2
120975,0.13,1380,3
195000,0.12,1728,3
263000,0.77,1512,3
205000,0.31,1760,3
120000,0.34,1392,3
166000,0.14,1343,2
380000,0.23,1828,3
210000,0.37,2263,4
95000,0.7,1080,2
644091,2.54,3953,4
82500,0.18,1678,4
194000,6.15,1960,3
251325,0.23,2188,4
136500,0.46,775,2
279900,0.46,2120,4
182900,0.61,2139,4
204000,0.94,1773,3
453275,0.64,2807,3
165000,0.55,2038,4
186000,0.48,2274,4
135900,0.2,1498,2
239900,0.41,1960,4
199000,0.23,1654,3
130000,0.16,1080,2
219000,0.49,1825,3
194900,0.48,1897,4
97000,0.17,912,2
153000,0.03,1480,2
165830,0.06,1375,2
263900,1.01,2016,3
217561,0.37,2602,3
419680,0.67,3544,4
126000,0.34,1316,3
126000,0.29,1368,3
194900,0.35,1678,3
166000,0.35,1784,3
470000,3.02,3768,6
319900,0.67,2725,5
121680,0.15,1385,2
146500,0.02,1281,2
199000,0.46,2302,4
207000,0.33,1801,3
228000,0.28,1886,3
291000,0.51,2469,4
130900,0.11,840,2
262500,0.73,2000,3
338000,0.37,3017,4
323168,0.08,2842,4
480000,2.25,3104,3
248645,0.5,2082,3
240000,0.45,1846,3
249900,0.5,1700,3
377900,0.56,3352,4
329900,0.55,3168,4
237500,0.5,2034,4
155000,0.19,1152,4
131500,0.06,1480,3
177000,0.57,1368,3
301000,0.03,2064,3
319000,0.46,2588,4
79900,0.36,672,2
328000,0.31,2498,4
295900,0.15,1586,2
201000,0.58,1500,4
108900,0.16,908,2
187900,0.28,1772,3
155000,0.75,1608,3
274779,0.55,2969,4
229900,0.66,1868,2
190000,0.35,2025,4
289250,0.42,2560,4
221110,0.26,2072,3
279000,0.43,2498,4
207000,0.3,1944,5
400000,0.12,2115,3
344000,0.53,2895,4
293965,0.01,1589,2
399500,0.37,2960,4
116000,0.16,912,2
120000,0.35,1148,3
266500,0.52,1608,3
195000,0.29,1552,3
50000,0.14,840,2
